CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
35,78,Female,Month-to-month,119.71,6344.07,No,DSL,18,No,Electronic check,No,352.4483333333333,2154.7799999999997
36,61,Female,One year,97.24,5658.2,Yes,Fiber optic,63,No,Mailed check,No,89.81269841269841,6126.12
37,42,Female,Month-to-month,96.13,1803.46,No,Fiber optic,62,No,Bank transfer,No,29.088064516129034,5960.0599999999995
38,66,Male,One year,115.52,757.22,Yes,DSL,68,Yes,Credit card,No,11.135588235294119,7855.36
39,44,Male,Two year,108.77,5865.03,Yes,Fiber optic,48,Yes,Credit card,Yes,122.188125,5220.96
40,76,Male,Month-to-month,51.82,4186.21,No,Fiber optic,50,No,Credit card,No,83.7242,2591.0
41,59,Female,Two year,36.6,5677.26,No,No,63,Yes,Bank transfer,No,90.1152380952381,2305.8
42,45,Male,One year,94.59,3919.37,No,No,69,Yes,Electronic check,No,56.80246376811594,6526.71
43,77,Male,One year,57.83,,No,No,6,No,Bank transfer,No,439.2383333333333,346.98
44,33,Male,One year,67.32,2423.14,No,Fiber optic,58,No,Electronic check,Yes,41.778275862068966,3904.5599999999995
45,32,Male,Month-to-month,83.04,5898.15,No,No,51,No,Electronic check,Yes,115.64999999999999,4235.04
46,79,Male,Two year,110.79,2358.88,No,No,12,No,Credit card,No,196.57333333333335,1329.48
47,79,Female,Month-to-month,61.91,5774.48,No,DSL,47,Yes,Mailed check,No,122.86127659574467,2909.77
48,64,Male,Month-to-month,98.33,3194.89,Yes,No,9,Yes,Mailed check,No,354.98777777777775,884.97
49,79,Female,One year,46.83,6213.01,Yes,DSL,7,Yes,Credit card,No,887.5728571428572,327.81
50,68,Female,Two year,89.8,1313.92,No,Fiber optic,29,Yes,Electronic check,No,45.30758620689655,2604.2
51,61,Female,One year,20.16,1798.84,Yes,No,51,Yes,Bank transfer,No,35.27137254901961,1028.16
52,72,Female,Month-to-month,107.15,5550.11,No,DSL,55,Yes,Credit card,No,100.9110909090909,5893.25
53,69,Female,One year,23.04,4569.8,Yes,DSL,59,Yes,Credit card,No,77.4542372881356,1359.36
54,74,Male,Two year,91.28,1790.25,Yes,DSL,56,Yes,Bank transfer,Yes,31.96875,5111.68
55,20,Male,One year,24.63,7242.05,No,Fiber optic,22,Yes,Electronic check,No,329.1840909090909,541.86
56,54,Female,Two year,46.62,2352.36,No,No,18,No,Credit card,No,130.68666666666667,839.16
57,68,Female,Two year,69.72,3484.36,No,Fiber optic,58,Yes,Credit card,No,60.075172413793105,4043.7599999999998
58,24,Female,One year,61.99,1777.85,Yes,DSL,40,Yes,Electronic check,Yes,44.44625,2479.6
59,38,Male,Month-to-month,39.18,3226.62,Yes,Fiber optic,31,Yes,Bank transfer,No,104.08451612903225,1214.58
60,26,Female,One year,53.38,4034.84,No,Fiber optic,56,No,Bank transfer,No,72.05071428571429,2989.28
61,56,Male,Month-to-month,92.77,2502.93,Yes,DSL,35,No,Mailed check,No,71.51228571428571,3246.95
62,35,Female,Month-to-month,86.93,6198.93,No,No,26,Yes,Mailed check,No,238.42038461538462,2260.1800000000003
63,21,Male,One year,27.18,,Yes,No,68,Yes,Bank transfer,No,48.12764705882353,1848.24
64,42,Female,Month-to-month,94.73,5890.18,No,Fiber optic,34,No,Mailed check,Yes,173.24058823529413,3220.82
65,77,Male,Month-to-month,25.3,1815.16,Yes,No,16,Yes,Mailed check,No,113.4475,404.8
66,31,Female,One year,74.29,3140.88,No,DSL,42,No,Electronic check,No,74.78285714285714,3120.1800000000003
67,67,Male,One year,46.01,262.85,No,No,5,Yes,Credit card,Yes,52.57000000000001,230.04999999999998
68,75,Male,One year,78.77,6117.37,No,Fiber optic,61,No,Mailed check,No,100.28475409836065,4804.969999999999
69,26,Male,Month-to-month,46.13,5081.92,Yes,DSL,44,No,Mailed check,No,115.49818181818182,2029.72
70,43,Male,Two year,118.5,6579.02,No,DSL,35,Yes,Electronic check,No,187.972,4147.5
71,70,Male,Month-to-month,50.97,3753.76,Yes,DSL,1,No,Bank transfer,No,3753.76,50.97
72,19,Male,Two year,44.2,6437.98,No,Fiber optic,43,No,Mailed check,No,149.72046511627906,1900.6000000000001
73,37,Male,One year,47.85,5251.14,No,Fiber optic,32,No,Credit card,Yes,164.098125,1531.2
74,45,Female,Two year,109.65,228.18,No,No,63,Yes,Mailed check,No,3.621904761904762,6907.950000000001
75,64,Female,One year,83.62,2178.82,Yes,Fiber optic,33,Yes,Credit card,No,66.02484848484849,2759.46
76,77,Female,One year,93.07,4052.35,Yes,DSL,66,No,Bank transfer,No,61.39924242424242,6142.62
77,24,Female,Two year,111.8,5025.76,Yes,Fiber optic,30,No,Mailed check,No,167.52533333333335,3354.0
78,61,Female,One year,111.19,711.61,No,Fiber optic,10,Yes,Credit card,No,71.161,1111.9
79,78,Male,Two year,93.89,5699.62,Yes,No,23,Yes,Credit card,No,247.8095652173913,2159.47
80,25,Male,One year,39.78,4439.58,No,DSL,39,Yes,Credit card,Yes,113.83538461538461,1551.42
81,64,Male,Month-to-month,104.34,4301.08,No,No,45,No,Bank transfer,No,95.57955555555556,4695.3
82,52,Male,Month-to-month,40.38,2477.96,No,No,29,Yes,Credit card,No,85.44689655172414,1171.02
83,31,Male,One year,94.29,4839.62,No,No,30,Yes,Electronic check,Yes,161.32066666666665,2828.7000000000003
84,34,Female,One year,88.56,414.44,No,DSL,34,Yes,Bank transfer,No,12.189411764705882,3011.04
85,53,Female,Two year,95.89,704.66,Yes,No,52,Yes,Credit card,No,13.551153846153845,4986.28
86,67,Female,Month-to-month,73.27,5924.19,Yes,DSL,22,No,Bank transfer,Yes,269.2813636363636,1611.9399999999998
87,57,Female,Two year,83.87,2710.75,No,No,5,No,Bank transfer,No,542.15,419.35
88,21,Male,One year,115.33,2906.34,No,No,11,Yes,Electronic check,No,264.2127272727273,1268.6299999999999
89,19,Male,One year,30.11,1825.4,Yes,DSL,32,No,Credit card,No,57.04375,963.52
90,79,Male,Two year,50.88,3675.84,No,Fiber optic,24,Yes,Bank transfer,No,153.16,1221.1200000000001
91,23,Female,One year,81.14,605.55,No,No,11,No,Bank transfer,No,55.05,892.54
92,71,Male,Month-to-month,116.41,2542.83,No,Fiber optic,11,Yes,Credit card,Yes,231.16636363636363,1280.51
93,59,Female,Two year,29.56,4311.57,No,No,17,Yes,Electronic check,Yes,253.62176470588233,502.52
94,21,Male,Month-to-month,22.25,3831.93,Yes,Fiber optic,32,No,Mailed check,No,119.7478125,712.0
95,71,Male,Month-to-month,25.57,,No,Fiber optic,27,Yes,Credit card,No,296.20074074074074,690.39
96,46,Female,Month-to-month,25.24,3232.36,Yes,Fiber optic,32,Yes,Mailed check,No,101.01125,807.68
97,35,Male,Two year,110.78,3218.59,Yes,Fiber optic,61,No,Credit card,No,52.76377049180328,6757.58
98,43,Male,One year,92.13,4127.94,Yes,Fiber optic,25,Yes,Credit card,No,165.11759999999998,2303.25
99,61,Female,Month-to-month,87.71,1684.36,Yes,DSL,64,No,Bank transfer,Yes,26.318125,5613.44
100,51,Male,Month-to-month,72.26,7035.17,No,Fiber optic,64,Yes,Credit card,No,109.92453125,4624.64
101,27,Female,Month-to-month,98.2,4663.69,No,DSL,28,Yes,Electronic check,No,166.56035714285713,2749.6
102,79,Male,One year,35.56,1698.44,No,No,40,No,Electronic check,Yes,42.461,1422.4
103,53,Male,One year,59.19,6388.84,Yes,DSL,14,No,Credit card,Yes,456.3457142857143,828.66
104,31,Male,Two year,69.0,,Yes,Fiber optic,42,Yes,Bank transfer,No,11.137857142857143,2898.0
105,48,Male,One year,31.04,7864.0,Yes,DSL,39,Yes,Bank transfer,No,201.64102564102564,1210.56
106,65,Male,Two year,61.95,6948.16,No,Fiber optic,2,No,Mailed check,No,3474.08,123.9
107,32,Male,Two year,51.65,4721.19,No,DSL,1,No,Credit card,No,4721.19,51.65
108,25,Male,Two year,23.56,1068.11,No,No,32,Yes,Mailed check,No,33.3784375,753.92
109,31,Male,Two year,33.67,,Yes,Fiber optic,64,Yes,Bank transfer,No,29.36140625,2154.88
110,40,Female,Two year,96.4,,Yes,Fiber optic,31,Yes,Electronic check,No,76.76096774193549,2988.4
111,77,Female,Month-to-month,21.8,2080.05,No,DSL,58,No,Bank transfer,No,35.86293103448276,1264.4
112,74,Male,One year,113.43,4080.66,Yes,DSL,14,Yes,Electronic check,No,291.4757142857143,1588.02
113,79,Male,Month-to-month,28.64,7567.57,Yes,DSL,69,No,Mailed check,No,109.67492753623188,1976.16
114,57,Female,Two year,99.92,3664.55,No,DSL,16,Yes,Bank transfer,No,229.034375,1598.72
115,38,Male,One year,109.86,5360.2,Yes,DSL,69,No,Electronic check,No,77.6840579710145,7580.34
116,33,Male,Month-to-month,114.11,5570.95,Yes,Fiber optic,54,Yes,Mailed check,Yes,103.16574074074073,6161.94
117,62,Female,Month-to-month,106.75,6998.33,No,No,13,No,Bank transfer,No,538.3330769230769,1387.75
118,35,Male,Two year,48.76,463.81,Yes,DSL,31,No,Credit card,No,14.961612903225806,1511.56
119,64,Male,Month-to-month,53.31,3353.77,Yes,Fiber optic,69,Yes,Bank transfer,Yes,48.60536231884058,3678.3900000000003
120,70,Female,Month-to-month,62.65,6320.93,Yes,No,21,No,Mailed check,No,300.99666666666667,1315.6499999999999
121,41,Male,Month-to-month,33.93,6555.96,Yes,No,30,No,Bank transfer,No,218.532,1017.9
122,43,Male,Month-to-month,22.23,7433.19,No,DSL,23,No,Mailed check,No,323.18217391304347,511.29
123,42,Female,Month-to-month,106.91,5681.8,No,Fiber optic,38,Yes,Electronic check,No,149.52105263157895,4062.58
124,77,Male,Two year,75.41,2112.2,Yes,Fiber optic,29,Yes,Bank transfer,No,72.83448275862068,2186.89
125,77,Female,Two year,80.87,4144.19,No,Fiber optic,32,Yes,Mailed check,Yes,129.5059375,2587.84
126,77,Male,Month-to-month,112.7,452.29,No,Fiber optic,62,Yes,Mailed check,Yes,7.295,6987.400000000001
127,62,Male,Two year,86.51,5246.04,No,Fiber optic,45,No,Credit card,No,116.57866666666666,3892.9500000000003
128,58,Female,Two year,89.09,4523.5,Yes,No,49,No,Electronic check,No,92.31632653061224,4365.41
129,46,Female,One year,98.7,5401.32,Yes,No,33,Yes,Credit card,Yes,163.67636363636362,3257.1
130,32,Male,Month-to-month,31.63,7455.1,No,No,4,No,Credit card,No,1863.775,126.52
131,62,Female,Two year,56.02,5560.76,No,Fiber optic,18,No,Bank transfer,No,308.93111111111114,1008.36
132,18,Female,Two year,116.82,2699.51,No,No,70,Yes,Mailed check,Yes,38.56442857142857,8177.4
133,42,Male,Month-to-month,112.29,1750.15,No,No,64,Yes,Mailed check,No,27.34609375,7186.56
134,24,Male,One year,108.41,6866.16,Yes,DSL,28,No,Mailed check,Yes,245.22,3035.48
135,26,Male,Month-to-month,65.21,1715.79,No,No,58,Yes,Bank transfer,Yes,29.58258620689655,3782.18
136,41,Female,One year,105.72,1460.55,Yes,DSL,56,No,Bank transfer,No,26.08125,5920.32
137,18,Female,Month-to-month,24.84,1811.57,Yes,Fiber optic,20,No,Electronic check,No,90.57849999999999,496.8
138,61,Female,Month-to-month,34.85,4168.96,Yes,Fiber optic,34,Yes,Credit card,No,122.6164705882353,1184.9
139,25,Female,Month-to-month,61.4,1168.66,Yes,Fiber optic,10,Yes,Electronic check,No,116.86600000000001,614.0
140,41,Male,Month-to-month,68.34,7517.32,Yes,Fiber optic,22,No,Electronic check,No,341.6963636363636,1503.48
141,28,Female,One year,46.35,7736.78,Yes,No,5,Yes,Bank transfer,No,1547.356,231.75
142,68,Male,One year,55.65,7795.65,Yes,DSL,44,No,Mailed check,No,177.17386363636362,2448.6
143,34,Female,Two year,36.28,505.17,No,Fiber optic,9,No,Bank transfer,No,56.13,326.52
144,25,Male,Month-to-month,68.91,7580.34,Yes,Fiber optic,43,Yes,Bank transfer,Yes,176.28697674418606,2963.1299999999997
145,52,Male,One year,99.38,7979.84,No,DSL,4,Yes,Bank transfer,No,1994.96,397.52
146,52,Male,One year,86.14,,No,DSL,42,Yes,Electronic check,No,179.78452380952382,3617.88
147,50,Female,One year,30.78,5433.32,No,DSL,65,Yes,Mailed check,No,83.58953846153845,2000.7
148,76,Male,Month-to-month,68.76,5669.6,No,DSL,41,No,Bank transfer,No,138.2829268292683,2819.1600000000003
149,22,Male,Two year,89.76,,No,DSL,64,Yes,Electronic check,No,18.02453125,5744.64
150,59,Female,One year,72.99,7019.52,Yes,No,55,Yes,Bank transfer,No,127.62763636363637,4014.45
151,56,Male,Month-to-month,59.17,665.19,Yes,DSL,18,Yes,Credit card,No,36.955000000000005,1065.06
152,75,Female,One year,82.19,2678.3,No,No,16,No,Mailed check,No,167.39375,1315.04
153,58,Female,One year,116.86,7930.98,No,DSL,46,Yes,Electronic check,No,172.41260869565215,5375.56
154,45,Male,Two year,29.49,3494.16,No,DSL,36,Yes,Credit card,No,97.06,1061.6399999999999
155,24,Male,One year,59.0,1223.02,Yes,Fiber optic,66,Yes,Bank transfer,No,18.53060606060606,3894.0
156,26,Female,One year,60.66,,No,Fiber optic,44,Yes,Credit card,No,176.375,2669.04
157,25,Male,Month-to-month,77.7,7876.29,Yes,Fiber optic,5,Yes,Credit card,No,1575.258,388.5
158,29,Female,Month-to-month,35.22,1658.93,Yes,Fiber optic,29,No,Electronic check,No,57.20448275862069,1021.38
159,51,Female,Two year,37.66,6945.47,No,Fiber optic,4,No,Mailed check,No,1736.3675,150.64
160,50,Female,Month-to-month,48.54,3245.3,Yes,Fiber optic,49,No,Mailed check,No,66.23061224489797,2378.46
161,65,Male,Month-to-month,115.59,,Yes,DSL,8,Yes,Electronic check,Yes,396.83375,924.72
162,72,Female,Two year,93.41,2249.04,Yes,DSL,52,Yes,Bank transfer,No,43.25076923076923,4857.32
163,40,Male,One year,86.17,548.74,No,Fiber optic,69,No,Credit card,Yes,7.952753623188406,5945.7300000000005
164,79,Male,Two year,101.7,2290.47,No,Fiber optic,21,Yes,Mailed check,No,109.07,2135.7000000000003
165,41,Male,Month-to-month,32.76,619.46,No,Fiber optic,27,No,Mailed check,No,22.942962962962966,884.52
166,54,Male,Two year,105.93,7410.1,No,DSL,38,Yes,Credit card,No,195.0026315789474,4025.34
167,52,Female,One year,79.48,5361.42,No,Fiber optic,5,No,Bank transfer,No,1072.284,397.40000000000003
168,61,Male,Two year,53.53,7115.66,No,Fiber optic,61,No,Credit card,No,116.65016393442623,3265.33
169,57,Female,Month-to-month,101.59,5794.87,No,DSL,8,Yes,Electronic check,No,724.35875,812.72
170,39,Female,Month-to-month,100.26,1224.04,No,DSL,18,Yes,Electronic check,No,68.00222222222222,1804.68
171,44,Male,Two year,104.57,7536.54,Yes,No,4,Yes,Bank transfer,No,1884.135,418.28
172,52,Female,One year,31.55,7219.17,No,Fiber optic,4,Yes,Mailed check,No,1804.7925,126.2
173,18,Female,Two year,116.94,2914.99,Yes,DSL,37,Yes,Mailed check,No,78.78351351351351,4326.78
174,52,Male,One year,115.96,1069.96,Yes,No,15,No,Bank transfer,No,71.33066666666667,1739.3999999999999
175,54,Female,One year,55.75,5692.41,No,DSL,38,Yes,Bank transfer,No,149.80026315789473,2118.5
176,64,Female,Two year,26.59,5881.22,Yes,No,27,No,Electronic check,No,217.82296296296298,717.93
177,31,Female,One year,36.71,7195.27,Yes,No,48,Yes,Electronic check,No,149.90145833333335,1762.08
178,20,Female,Month-to-month,119.28,610.71,No,Fiber optic,46,No,Bank transfer,No,13.276304347826088,5486.88
179,18,Male,Two year,76.3,1305.29,Yes,Fiber optic,46,No,Mailed check,No,28.37586956521739,3509.7999999999997
180,22,Female,One year,55.66,4866.34,No,No,48,No,Credit card,No,101.38208333333334,2671.68
181,43,Female,Month-to-month,48.82,5029.23,Yes,Fiber optic,59,Yes,Credit card,No,85.24118644067796,2880.38
182,72,Female,Two year,45.7,462.16,Yes,DSL,4,No,Credit card,No,115.54,182.8
183,31,Female,Month-to-month,86.42,3296.07,No,DSL,19,Yes,Electronic check,No,173.47736842105263,1641.98
184,56,Male,Month-to-month,61.94,4756.46,Yes,No,57,No,Bank transfer,No,83.44666666666667,3530.58
185,44,Female,Month-to-month,116.54,5955.71,Yes,No,19,Yes,Mailed check,No,313.4584210526316,2214.26
186,26,Male,One year,88.38,2665.98,No,DSL,42,No,Electronic check,Yes,63.47571428571429,3711.96
187,32,Female,Two year,99.2,3974.45,No,DSL,5,Yes,Bank transfer,Yes,794.89,496.0
188,32,Male,Two year,49.27,6549.63,Yes,No,48,Yes,Bank transfer,No,136.450625,2364.96
189,43,Male,One year,27.92,7640.38,Yes,DSL,25,No,Credit card,No,305.6152,698.0
190,59,Male,Two year,68.78,1996.45,No,DSL,67,No,Credit card,No,29.797761194029853,4608.26
191,77,Male,Month-to-month,51.46,2173.73,Yes,No,26,Yes,Mailed check,No,83.605,1337.96
192,30,Male,Two year,40.21,7530.58,No,Fiber optic,62,No,Mailed check,No,121.46096774193548,2493.02
193,68,Female,One year,115.26,3288.11,No,DSL,7,Yes,Credit card,No,469.73,806.82
194,49,Female,Month-to-month,64.4,,No,Fiber optic,44,Yes,Credit card,No,131.8890909090909,2833.6000000000004
195,56,Female,One year,37.47,4975.67,Yes,Fiber optic,27,No,Bank transfer,No,184.28407407407408,1011.6899999999999
196,66,Male,Month-to-month,39.87,2427.58,Yes,DSL,42,Yes,Mailed check,No,57.799523809523805,1674.54
197,69,Female,Month-to-month,48.07,5297.79,Yes,Fiber optic,56,No,Bank transfer,No,94.60339285714285,2691.92
198,78,Male,Two year,119.93,,No,No,3,Yes,Mailed check,No,1771.1366666666665,359.79
199,49,Male,Month-to-month,46.8,4821.06,Yes,DSL,13,Yes,Mailed check,No,370.8507692307693,608.4
200,21,Female,One year,52.88,977.35,No,DSL,70,Yes,Electronic check,No,13.962142857142858,3701.6000000000004
201,47,Female,Two year,85.93,7962.34,Yes,Fiber optic,59,Yes,Credit card,No,134.95491525423728,5069.870000000001
202,54,Male,One year,49.4,3323.25,No,DSL,38,No,Electronic check,No,87.45394736842105,1877.2
203,40,Male,Month-to-month,41.58,5178.36,No,DSL,68,Yes,Mailed check,No,76.15235294117646,2827.44
204,56,Female,One year,35.86,7108.94,Yes,Fiber optic,69,No,Bank transfer,No,103.02811594202898,2474.34
205,62,Female,One year,51.27,3501.65,No,Fiber optic,1,Yes,Mailed check,No,3501.65,51.27
206,32,Female,Month-to-month,30.59,6236.62,Yes,DSL,50,Yes,Electronic check,No,124.7324,1529.5
207,60,Female,Two year,21.86,7780.23,Yes,DSL,9,No,Credit card,No,864.4699999999999,196.74
208,46,Male,One year,100.46,2999.69,Yes,No,53,Yes,Bank transfer,Yes,56.59792452830189,5324.38
209,53,Female,Month-to-month,33.79,3361.1,Yes,No,10,Yes,Mailed check,No,336.11,337.9
210,30,Female,Two year,97.6,7263.49,Yes,DSL,29,No,Mailed check,Yes,250.46517241379308,2830.3999999999996
211,49,Female,Two year,99.75,1445.21,No,DSL,36,Yes,Credit card,No,40.14472222222222,3591.0
212,24,Male,Two year,73.79,423.04,Yes,No,27,Yes,Mailed check,No,15.668148148148148,1992.3300000000002
213,76,Male,One year,50.97,,No,Fiber optic,18,Yes,Mailed check,Yes,404.9627777777778,917.46
214,68,Male,One year,34.5,6608.41,Yes,DSL,18,No,Credit card,Yes,367.13388888888886,621.0
215,39,Male,One year,93.68,7786.15,No,No,9,No,Electronic check,No,865.1277777777777,843.1200000000001
216,45,Female,Two year,80.14,654.25,No,No,67,No,Electronic check,No,9.764925373134329,5369.38
217,19,Male,One year,85.55,1418.18,Yes,DSL,7,No,Electronic check,Yes,202.59714285714287,598.85
218,59,Female,Month-to-month,20.87,1021.44,No,DSL,58,No,Electronic check,No,17.611034482758622,1210.46
219,62,Female,One year,112.75,5530.65,Yes,No,30,No,Bank transfer,No,184.355,3382.5
220,79,Female,One year,26.63,4926.88,Yes,DSL,61,No,Bank transfer,No,80.76852459016393,1624.4299999999998
221,74,Female,Two year,56.68,3002.81,Yes,Fiber optic,17,No,Credit card,No,176.63588235294117,963.56
222,70,Male,One year,60.27,647.9,No,DSL,53,Yes,Credit card,No,12.224528301886792,3194.31
223,23,Male,Month-to-month,20.14,5189.36,No,No,6,No,Credit card,No,864.8933333333333,120.84
224,45,Male,Two year,69.71,4646.94,No,No,39,Yes,Bank transfer,Yes,119.15230769230769,2718.6899999999996
225,45,Female,Month-to-month,95.28,1080.65,No,DSL,25,Yes,Mailed check,No,43.226000000000006,2382.0
226,61,Female,Two year,102.33,7289.5,Yes,No,42,Yes,Bank transfer,No,173.5595238095238,4297.86
227,61,Female,Two year,107.94,1751.81,Yes,Fiber optic,42,Yes,Electronic check,Yes,41.709761904761905,4533.48
228,37,Female,One year,68.77,5999.37,No,DSL,59,Yes,Electronic check,Yes,101.68423728813559,4057.43
229,47,Female,Month-to-month,83.06,7103.59,No,DSL,38,No,Mailed check,No,186.93657894736842,3156.28
230,79,Male,Two year,27.95,4719.9,Yes,No,31,No,Credit card,No,152.25483870967741,866.4499999999999
231,28,Female,One year,344.0,2125.42,No,Fiber optic,29,Yes,Bank transfer,Yes,73.29034482758621,1995.1999999999998
232,75,Male,Two year,35.48,2612.14,Yes,DSL,9,No,Mailed check,No,290.23777777777775,319.32
233,72,Female,Two year,56.96,7108.83,No,No,1,No,Mailed check,No,7108.83,56.96
234,45,Female,Two year,52.93,2526.41,No,DSL,47,No,Bank transfer,No,53.75340425531915,2487.71
235,42,Male,Two year,62.35,6020.29,No,Fiber optic,10,No,Mailed check,Yes,602.029,623.5
236,56,Male,Two year,77.16,7923.29,Yes,No,16,No,Credit card,Yes,495.205625,1234.56
237,79,Female,Two year,110.29,7998.57,Yes,DSL,47,Yes,Bank transfer,No,170.18234042553192,5183.63
238,50,Female,One year,59.45,4361.14,No,No,43,Yes,Bank transfer,Yes,101.42186046511628,2556.35
239,18,Female,Two year,118.11,6647.14,No,No,24,Yes,Mailed check,Yes,276.9641666666667,2834.64
240,74,Female,Month-to-month,95.9,7923.95,No,Fiber optic,8,Yes,Credit card,No,990.49375,767.2
241,44,Male,One year,71.15,3122.45,No,Fiber optic,26,Yes,Credit card,No,120.09423076923076,1849.9
242,79,Female,Month-to-month,84.4,2168.79,No,DSL,7,No,Electronic check,No,309.82714285714286,590.8000000000001
243,74,Male,Two year,30.22,1091.02,No,No,15,No,Bank transfer,No,72.73466666666667,453.29999999999995
244,69,Female,Month-to-month,104.45,1299.02,No,No,48,Yes,Electronic check,No,27.062916666666666,5013.6
245,30,Male,Two year,78.24,6857.74,No,No,3,Yes,Credit card,Yes,2285.9133333333334,234.71999999999997
246,58,Male,Two year,118.61,4792.04,Yes,DSL,16,No,Credit card,Yes,299.5025,1897.76
247,20,Female,One year,83.64,7014.93,Yes,Fiber optic,14,No,Electronic check,Yes,501.0664285714286,1170.96
248,56,Male,One year,103.41,6357.75,Yes,Fiber optic,3,Yes,Bank transfer,No,2119.25,310.23
249,23,Female,Two year,99.98,5455.21,Yes,No,70,Yes,Electronic check,No,77.93157142857143,6998.6
250,25,Male,One year,54.55,4952.64,No,DSL,31,No,Credit card,Yes,159.7625806451613,1691.05
251,44,Female,Month-to-month,45.96,577.04,Yes,No,17,No,Credit card,No,33.9435294117647,781.32
252,26,Male,One year,63.05,7003.75,Yes,Fiber optic,49,Yes,Mailed check,No,142.93367346938774,3089.45
253,79,Female,One year,66.72,3459.17,No,No,3,No,Mailed check,Yes,1153.0566666666666,200.16
254,54,Female,Month-to-month,44.01,4566.34,Yes,No,55,No,Electronic check,No,83.02436363636365,2420.5499999999997
255,50,Male,One year,547.3,371.24,Yes,No,40,Yes,Mailed check,No,9.281,4378.4
256,68,Male,Two year,74.25,7501.37,Yes,Fiber optic,66,No,Credit card,Yes,113.65712121212121,4900.5
257,59,Male,Month-to-month,117.84,7241.38,Yes,DSL,40,Yes,Bank transfer,Yes,181.0345,4713.6
